TowerID,Location,Operator,Band,Traffic,Uptime,Faults,Faults_Class,Uptime_Class,Traffic_per_Fault,Downtime,Fault_Severity_Index,Log_Traffic,Log_Downtime,Log_Traffic_per_Fault,Uptime_Traffic,Traffic_per_Downtime,Traffic_Squared,Uptime_Squared,Traffic_Bin,Uptime_Bin
11,East,Operator1,1800 MHz,107.25,93.83,0,Low,Low Uptime,107.25,6.170000000000002,3.085000000000001,4.684443366882599,1.9699056546115292,4.684443366882599,10063.2675,17.38249594813614,11502.5625,8804.0689,High,Medium
12,East,Operator2,2100 MHz,74.84,96.97,1,Low,High Uptime,74.84,3.030000000000001,2.015000000000001,4.328625857946767,1.3937663759585919,4.328625857946767,7257.2348,24.69966996699669,5601.025600000001,9403.1809,Low,High
13,West,Operator3,2500 MHz,90.84,99.74,7,High,High Uptime,12.977142857142857,0.2600000000000051,3.6300000000000026,4.520047932571257,0.23111172096339067,2.6374233423236033,9060.3816,349.38461538460854,8251.9056,9948.067599999998,Medium,High
14,East,Operator1,2300 MHz,73.11,89.2,2,High,Low Uptime,36.555,10.799999999999995,6.399999999999999,4.305550475963267,2.4680995314716188,3.6258065251379747,6521.412,6.7694444444444475,5345.0721,7956.64,Low,Low
15,West,Operator1,2500 MHz,123.62,95.55,4,High,High Uptime,30.905,4.450000000000003,4.225000000000001,4.825269107116076,1.695615608675153,3.4627627373203103,11811.891,27.77977528089886,15281.904400000001,9129.8025,Very High,High
16,North,Operator3,1800 MHz,104.49,99.5,0,Low,High Uptime,104.49,0.5,0.25,4.658616161693717,0.4054651081081644,4.658616161693717,10396.755,208.98,10918.1601,9900.25,High,High
17,North,Operator2,1800 MHz,90.47,97.83,1,Low,High Uptime,90.47,2.1700000000000017,1.5850000000000009,4.516011049668273,1.1537315878891898,4.516011049668273,8850.6801,41.6912442396313,8184.8209,9570.7089,Medium,High
18,West,Operator1,2100 MHz,110.83,96.63,4,High,High Uptime,27.7075,3.3700000000000045,3.6850000000000014,4.716979861040096,1.4747630091074997,3.3571584126682072,10709.5029,32.88724035608304,12283.2889,9337.356899999999,High,High
19,North,Operator2,1800 MHz,93.34,98.47,1,Low,High Uptime,93.34,1.5300000000000011,1.2650000000000006,4.546905277856116,0.9282193027394293,4.546905277856116,9191.1898,61.00653594771237,8712.3556,9696.3409,Medium,High
20,West,Operator3,1800 MHz,90.31,90.83,4,High,Low Uptime,22.5775,9.170000000000002,6.585000000000001,4.514260310628249,2.3194422100604686,3.1602928674359028,8202.8573,9.848418756815702,8155.896100000001,8250.088899999999,Medium,Medium
21,Central,Operator3,2100 MHz,86.14,96.95,1,Low,High Uptime,86.14,3.049999999999997,2.0249999999999986,4.467516020689295,1.398716881118447,4.467516020689295,8351.273000000001,28.242622950819698,7420.0996000000005,9399.3025,Medium,High
22,North,Operator1,800 MHz,120.85,100.78,3,High,High Uptime,40.28333333333333,-0.7800000000000011,1.1099999999999994,4.802790780071215,-1.5141277326297806,3.7204588672672587,12179.262999999999,-154.9358974358972,14604.722499999998,10156.608400000001,Very High,
23,Central,Operator2,2100 MHz,113.99,96.08,1,Low,High Uptime,113.99,3.9200000000000017,2.460000000000001,4.744845168060573,1.593308530504217,4.744845168060573,10952.1592,29.079081632653047,12993.720099999999,9231.366399999999,Very High,High
24,West,Operator1,800 MHz,130.6,87.01,0,Low,Low Uptime,130.6,12.989999999999997,6.494999999999997,4.879767018891217,2.6383427886773894,4.879767018891217,11363.506,10.053887605850656,17056.359999999997,7570.740100000001,Very High,Low
25,North,Operator3,1800 MHz,94.96,103.87,4,High,High Uptime,23.74,-3.870000000000005,0.0649999999999977,4.563931437971494,,3.2084213669643415,9863.4952,-24.537467700258365,9017.4016,10788.976900000001,Medium,
26,East,Operator2,1800 MHz,128.39,93.03,3,High,Low Uptime,42.79666666666666,6.969999999999999,4.984999999999999,4.862831099327861,2.0756844928021234,3.7795577109856207,11944.1217,18.420373027259686,16483.992099999996,8654.5809,Very High,Medium
27,Central,Operator2,800 MHz,59.99,97.46,3,High,High Uptime,19.996666666666663,2.5400000000000063,2.770000000000003,4.110709916308365,1.2641267271456849,3.044363694965728,5846.6254,23.618110236220414,3598.8001000000004,9498.451599999999,Low,High
28,East,Operator2,2300 MHz,119.57,103.23,2,High,High Uptime,59.785,-3.230000000000004,-0.615000000000002,4.79223049712922,,4.107343048007757,12343.2111,-37.018575851393145,14296.984899999998,10656.432900000002,Very High,
29,Central,Operator2,2300 MHz,84.86,98.51,4,High,High Uptime,21.215,1.4899999999999949,2.744999999999997,4.452718062796414,0.9122827104766141,3.100767736387872,8359.5586,56.95302013422838,7201.2196,9704.2201,Low,High
30,West,Operator3,2100 MHz,116.43,91.09,3,High,Low Uptime,38.81,8.909999999999997,5.954999999999998,4.7658424113769895,2.293544348341896,3.684118137012226,10605.6087,13.067340067340073,13555.944900000002,8297.3881,Very High,Medium
31,Central,Operator3,2100 MHz,80.48,94.69,1,Low,Low Uptime,80.48,5.310000000000002,3.155000000000001,4.400357591358605,1.842135676553122,4.400357591358605,7620.6512,15.1563088512241,6477.030400000001,8966.1961,Low,Medium
32,Central,Operator2,800 MHz,92.09,94.88,5,High,Low Uptime,18.418,5.1200000000000045,5.060000000000002,4.533566767128399,1.8115620965242354,2.966200470947953,8737.4992,17.986328124999986,8480.5681,9002.214399999999,Medium,Medium
33,North,Operator1,2100 MHz,102.42,92.79,4,High,Low Uptime,25.605,7.209999999999994,5.604999999999997,4.638798366968075,2.105352923464336,3.2810991680483323,9503.551800000001,14.205270457697655,10489.8564,8609.984100000001,High,Medium
34,East,Operator2,2500 MHz,83.89,88.25,1,Low,Low Uptime,83.89,11.75,6.375,4.441356300749876,2.545531271604435,4.441356300749876,7403.2925000000005,7.139574468085106,7037.5321,7788.0625,Low,Low
35,Central,Operator1,2500 MHz,132.29,97.16,0,Low,High Uptime,132.29,2.8400000000000034,1.4200000000000017,4.892527205615926,1.3454723665996364,4.892527205615926,12853.2964,46.580985915492896,17500.644099999998,9440.0656,Very High,High
36,North,Operator1,2100 MHz,91.27,92.13,2,High,Low Uptime,45.635,7.870000000000003,4.935000000000002,4.524719061590464,2.1826747963214883,3.8423513321788265,8408.7051,11.597204574332904,8330.212899999999,8487.936899999999,Medium,Medium
37,North,Operator1,1800 MHz,61.82,91.62,1,Low,Low Uptime,61.82,8.379999999999995,4.689999999999998,4.140273494110501,2.2385797630181328,4.140273494110501,5663.9484,7.377088305489264,3821.7124,8394.224400000001,Low,Medium
38,Central,Operator2,2100 MHz,105.63,97.29,3,High,High Uptime,35.21,2.7099999999999937,2.854999999999997,4.669364898030088,1.311031876619342,3.58933532377755,10276.7427,38.977859778597875,11157.696899999999,9465.344100000002,High,High
39,Central,Operator1,2500 MHz,103.97,84.07,2,High,Low Uptime,51.985,15.930000000000009,8.965000000000003,4.653674595047706,2.8290871961450446,3.970008854626799,8740.757899999999,6.526679221594472,10809.7609,7067.764899999999,High,Low
40,North,Operator2,2500 MHz,105.43,91.89,2,High,Low Uptime,52.715,8.11,5.055,4.6674874920529525,2.209372711271867,3.983692292118506,9687.9627,13.000000000000002,11115.484900000001,8443.7721,High,Medium
41,South,Operator2,2100 MHz,89.65,91.54,2,High,Low Uptime,44.825,8.459999999999994,5.229999999999997,4.50700593720086,2.247072383063786,3.8248297937257685,8206.561000000002,10.596926713948,8037.122500000001,8379.571600000001,Medium,Medium
42,East,Operator2,1800 MHz,83.3,87.5,6,High,Low Uptime,13.883333333333333,12.5,9.25,4.4343818650078095,2.6026896854443837,2.7002420186543983,7288.75,6.664,6938.889999999999,7656.25,Low,Low
43,West,Operator3,2100 MHz,105.4,93.15,2,High,Low Uptime,52.7,6.849999999999994,4.424999999999997,4.667205576907544,2.0605135317943164,3.983413001514819,9818.010000000002,15.386861313868627,11109.160000000002,8676.9225,High,Medium
44,North,Operator2,1800 MHz,66.51,85.94,1,Low,Low Uptime,66.51,14.060000000000002,7.530000000000001,4.212275735053779,2.7120422223717475,4.212275735053779,5715.8694000000005,4.730440967283072,4423.580100000001,7385.683599999999,Low,Low
45,Central,Operator3,800 MHz,149.24,91.08,1,Low,Low Uptime,149.24,8.920000000000002,4.960000000000001,5.012234015459953,2.2945529212967815,5.012234015459953,13592.7792,16.73094170403587,22272.577600000004,8295.5664,Very High,Medium
46,North,Operator1,800 MHz,66.97,94.86,0,Low,Low Uptime,66.97,5.140000000000001,2.5700000000000003,4.219066431358547,1.814824742159051,4.219066431358547,6352.7742,13.02918287937743,4484.9809,8998.4196,Low,Medium
47,North,Operator2,2500 MHz,77.95,95.26,4,High,High Uptime,19.4875,4.739999999999995,4.369999999999997,4.368814740701651,1.747459210331474,3.0198149440699478,7425.517000000001,16.44514767932491,6076.2025,9074.467600000002,Low,High
48,Central,Operator3,1800 MHz,89.73,100.63,4,High,High Uptime,22.4325,-0.6299999999999955,1.6850000000000025,4.507888063181538,-0.9942522733438546,3.154123947638504,9029.5299,-142.42857142857247,8051.472900000001,10126.3969,Medium,
49,South,Operator1,2100 MHz,69.98,94.54,0,Low,Low Uptime,69.98,5.459999999999994,2.729999999999997,4.2623981472183505,1.8656293177945094,4.2623981472183505,6615.909200000001,12.816849816849832,4897.200400000001,8937.8116,Low,Medium
50,West,Operator1,2100 MHz,105.16,95.71,1,Low,High Uptime,105.16,4.290000000000006,2.645000000000003,4.6649473900239515,1.665818245870209,4.6649473900239515,10064.863599999999,24.512820512820475,11058.6256,9160.404099999998,High,High
51,Central,Operator1,1800 MHz,101.34,92.33,1,Low,Low Uptime,101.34,7.670000000000002,4.335000000000001,4.628300603376946,2.1598687907924505,4.628300603376946,9356.7222,13.212516297262058,10269.795600000001,8524.8289,High,Medium
52,South,Operator3,800 MHz,80.13,96.5,4,High,High Uptime,20.0325,3.5,3.75,4.396052806406973,1.504077396776274,3.0460688604428316,7732.544999999999,22.89428571428571,6420.816899999999,9312.25,Low,High
53,South,Operator2,1800 MHz,106.55,98.03,2,High,High Uptime,53.275,1.9699999999999989,1.9849999999999997,4.677955855713739,1.0885619528146078,3.9940637157643555,10445.0965,54.08629441624368,11352.9025,9609.8809,High,High
54,North,Operator2,800 MHz,112.73,88.62,1,Low,Low Uptime,112.73,11.379999999999995,6.189999999999998,4.733827218196353,2.51608226725645,4.733827218196353,9990.1326,9.905975395430584,12708.0529,7853.504400000001,Very High,Low
55,North,Operator2,800 MHz,122.58,95.24,3,High,High Uptime,40.86,4.760000000000005,3.8800000000000026,4.816888719632833,1.7509374747078006,3.7343307170178535,11674.519199999999,25.752100840336105,15025.856399999999,9070.657599999999,Very High,High
56,West,Operator1,2300 MHz,119.87,88.58,2,High,Low Uptime,59.935,11.420000000000002,6.710000000000001,4.794715587871366,2.519308076505333,4.109807722275465,10618.0846,10.49649737302977,14368.816900000002,7846.4164,Very High,Low
57,East,Operator2,2100 MHz,93.33,102.42,4,High,High Uptime,23.3325,-2.4200000000000017,0.7899999999999991,4.546799272661762,,3.1918129053185114,9558.8586,-38.56611570247931,8710.4889,10489.8564,Medium,
58,Central,Operator1,2500 MHz,98.68,96.84,4,High,High Uptime,24.67,3.1599999999999966,3.5799999999999983,4.601965055039143,1.425515074273171,3.245322994883049,9556.1712,31.22784810126586,9737.742400000001,9377.9856,Medium,High
59,East,Operator3,2100 MHz,123.08,98.48,4,High,High Uptime,30.77,1.519999999999996,2.759999999999998,4.8209265188682835,0.9242589015233303,3.4585224482814247,12120.9184,80.97368421052653,15148.686399999999,9698.3104,Very High,High
60,Central,Operator1,2100 MHz,104.2,96.66,5,High,High Uptime,20.84,3.3400000000000034,4.170000000000002,4.65586330030361,1.4678743481123142,3.083743150876704,10071.972,31.19760479041913,10857.640000000001,9343.1556,High,High
61,Central,Operator2,2500 MHz,68.57,98.3,2,High,High Uptime,34.285,1.7000000000000028,1.8500000000000012,4.24233343993555,0.9932517730102843,3.5634579444527934,6740.431,40.33529411764699,4701.844899999999,9662.89,Low,High
62,South,Operator1,2100 MHz,93.1,99.3,2,High,High Uptime,46.55,0.7000000000000028,1.3500000000000014,4.544358046591333,0.530628251062172,3.861781788991399,9244.83,132.99999999999946,8667.609999999999,9860.49,Medium,High
63,South,Operator3,1800 MHz,79.81,88.86,2,High,Low Uptime,39.905,11.14,6.57,4.392100720245356,2.496505785631352,3.7112523049656616,7091.9166000000005,7.16427289048474,6369.636100000001,7896.0996,Low,Low
64,North,Operator1,2300 MHz,97.32,95.13,3,High,High Uptime,32.44,4.8700000000000045,3.9350000000000014,4.588227465257779,1.7698546338400059,3.5097527882165007,9258.051599999999,19.983572895277188,9471.182399999998,9049.7169,Medium,High
65,South,Operator1,2100 MHz,95.81,95.9,1,Low,High Uptime,95.81,4.099999999999994,2.549999999999997,4.57275029473198,1.629240539730279,4.57275029473198,9188.179,23.368292682926864,9179.5561,9196.810000000001,Medium,High
66,West,Operator3,1800 MHz,81.5,93.24,5,High,Low Uptime,16.3,6.760000000000005,5.880000000000003,4.412798293340635,2.048982334195128,2.8507065015037334,7599.0599999999995,12.056213017751471,6642.25,8693.6976,Low,Medium
67,Central,Operator3,2300 MHz,99.6,100.35,1,Low,High Uptime,99.6,-0.3499999999999943,0.3250000000000028,4.611152257665639,-0.4307829160924455,4.611152257665639,9994.859999999999,-284.57142857143316,9920.159999999998,10070.1225,High,
68,West,Operator3,800 MHz,93.15,87.4,4,High,Low Uptime,23.2875,12.599999999999994,8.299999999999997,4.544889255103161,2.610069792742006,3.189961814703558,8141.310000000001,7.392857142857147,8676.9225,7638.760000000001,Medium,Low
69,South,Operator3,800 MHz,84.37,97.74,1,Low,High Uptime,84.37,2.260000000000005,1.6300000000000026,4.446994751022215,1.1817271953786177,4.446994751022215,8246.3238,37.331858407079565,7118.296900000001,9553.1076,Low,High
70,North,Operator3,2100 MHz,116.73,100.01,2,High,High Uptime,58.365,-0.0100000000000051,0.9949999999999974,4.768393867090105,-0.010050335853506592,4.083704827117756,11674.167300000001,-11672.999999994046,13625.8929,10002.000100000001,Very High,
71,West,Operator3,1800 MHz,109.41,91.53,0,Low,Low Uptime,109.41,8.469999999999999,4.234999999999999,4.704200709451046,2.248128907197987,4.704200709451046,10014.2973,12.917355371900827,11970.5481,8377.7409,High,Medium
72,Central,Operator2,800 MHz,68.23,101.57,3,High,High Uptime,22.743333333333336,-1.5699999999999932,0.7150000000000034,4.237434294689934,,3.1673017893221527,6930.1211,-43.45859872611484,4655.3329,10316.464899999999,Low,
73,Central,Operator1,2100 MHz,110.86,101.68,3,High,High Uptime,36.95333333333333,-1.6800000000000068,0.6599999999999966,4.717248089393442,,3.636357334854826,11272.2448,-65.98809523809497,12289.9396,10338.822400000001,High,
74,Central,Operator2,2500 MHz,80.69,101.14,0,Low,High Uptime,80.69,-1.1400000000000006,-0.5700000000000003,4.4029315953537775,,4.4029315953537775,8160.9866,-70.78070175438593,6510.8760999999995,10229.2996,Low,
75,South,Operator1,2300 MHz,113.64,92.5,3,High,Low Uptime,37.88,7.5,5.25,4.741796783519916,2.1400661634962708,3.660479979592238,10511.7,15.152,12914.0496,8556.25,Very High,Medium
76,Central,Operator3,1800 MHz,81.09,98.96,1,Low,High Uptime,81.09,1.0400000000000065,1.0200000000000031,4.407816206360175,0.7129498078561282,4.407816206360175,8024.6664,77.97115384615337,6575.588100000001,9793.0816,Low,High
77,North,Operator3,1800 MHz,128.49,95.01,1,Low,High Uptime,128.49,4.989999999999995,2.994999999999997,4.8636036580807485,1.790091412127357,4.8636036580807485,12207.834900000002,25.74949899799602,16509.6801,9026.9001,Very High,High
78,North,Operator3,2100 MHz,69.33,99.46,4,High,High Uptime,17.3325,0.5400000000000063,2.270000000000003,4.2531984503199265,0.4317824164255418,2.9086754409858173,6895.5617999999995,128.3888888888874,4806.6489,9892.291599999999,Low,High
79,South,Operator3,2300 MHz,100.44,88.01,1,Low,Low Uptime,100.44,11.989999999999997,6.494999999999997,4.6194674906889155,2.564179830682508,4.6194674906889155,8839.724400000001,8.376980817347793,10088.193599999999,7745.760100000001,High,Low
80,South,Operator2,1800 MHz,121.83,101.77,3,High,High Uptime,40.61,-1.769999999999996,0.615000000000002,4.810801285551003,,3.72834052299485,12398.639099999999,-68.83050847457642,14842.5489,10357.132899999999,Very High,
81,East,Operator2,1800 MHz,115.27,94.18,2,High,Low Uptime,57.635,5.819999999999993,3.9099999999999966,4.755915072680517,1.9198594718553696,4.071331787913028,10856.1286,19.80584192439865,13287.1729,8869.872400000002,Very High,Medium
82,South,Operator2,2300 MHz,101.68,97.94,5,High,High Uptime,20.336,2.0600000000000023,3.530000000000001,4.6316173560029394,1.1184149159642902,3.060395786879713,9958.539200000001,49.359223300970825,10338.822400000001,9592.2436,High,High
83,South,Operator2,2300 MHz,96.79,93.8,3,High,Low Uptime,32.263333333333335,6.200000000000003,4.600000000000001,4.5828223223241835,1.9740810260220099,3.5044556892281116,9078.902,15.61129032258064,9368.304100000001,8798.439999999999,Medium,Medium
84,South,Operator3,2300 MHz,97.7,90.51,3,High,Low Uptime,32.56666666666667,9.489999999999997,6.244999999999997,4.592084946439436,2.3504224224082053,3.5135335110564068,8842.827000000001,10.295047418335093,9545.29,8192.0601,Medium,Medium
85,Central,Operator1,2100 MHz,121.21,97.59,1,Low,High Uptime,121.21,2.4099999999999966,1.7049999999999983,4.805740876449909,1.2267122912954243,4.805740876449909,11828.883899999999,50.2946058091287,14691.864099999999,9523.8081,Very High,High
86,North,Operator2,2300 MHz,66.07,90.73,1,Low,Low Uptime,66.07,9.269999999999996,5.134999999999998,4.205736850111646,2.3292270239404664,4.205736850111646,5994.531099999999,7.127292340884576,4365.244899999999,8231.932900000002,Low,Medium
87,North,Operator2,2300 MHz,84.52,94.02,4,High,Low Uptime,21.13,5.980000000000004,4.990000000000002,4.4487502667167895,1.9430489167742815,3.096934154062958,7946.5704,14.133779264214036,7143.630399999999,8839.7604,Low,Medium
88,South,Operator3,2500 MHz,91.56,93.51,2,High,Low Uptime,45.78,6.489999999999995,4.244999999999997,4.527857082885421,2.0135687975291274,3.8454557611560327,8561.7756,14.107858243451476,8383.2336,8744.1201,Medium,Medium
89,South,Operator2,2100 MHz,80.3,97.06,2,High,High Uptime,40.15,2.9399999999999977,2.469999999999999,4.398146016553765,1.3711807233098419,3.7172239271230785,7793.918,27.31292517006805,6448.089999999999,9420.643600000001,Low,High
90,East,Operator3,800 MHz,95.03,97.82,2,High,High Uptime,47.515,2.180000000000007,2.0900000000000034,4.564660642649882,1.1568811967920876,3.881873028477263,9295.8346,43.59174311926592,9030.7009,9568.7524,Medium,High
91,West,Operator3,2500 MHz,117.07,93.62,1,Low,Low Uptime,117.07,6.379999999999996,3.6899999999999977,4.771277668919018,1.9987736386123807,4.771277668919018,10960.0934,18.34952978056427,13705.3849,8764.7044,Very High,Medium
92,Central,Operator1,2100 MHz,69.73,96.93,2,High,High Uptime,34.865,3.069999999999993,2.5349999999999966,4.258869811047899,1.4036429994545019,3.5797618895783976,6758.928900000001,22.713355048859988,4862.272900000001,9395.424900000002,Low,High
93,East,Operator3,800 MHz,81.82,92.53,3,High,Low Uptime,27.27333333333333,7.469999999999999,5.234999999999999,4.416669578117421,2.136530508663963,3.3419190753783345,7570.8045999999995,10.95314591700134,6694.512399999999,8561.8009,Low,Medium
94,East,Operator1,2500 MHz,77.49,91.19,1,Low,Low Uptime,77.49,8.810000000000002,4.905000000000001,4.362971228138722,2.2834022735772717,4.362971228138722,7066.313099999999,8.795686719636773,6004.700099999999,8315.6161,Low,Medium
95,East,Operator2,2500 MHz,45.34,97.01,1,Low,High Uptime,45.34,2.989999999999995,1.9949999999999972,3.83600551900423,1.3837912309017708,3.83600551900423,4398.433400000001,15.163879598662234,2055.7156000000004,9410.940100000002,Low,High
96,East,Operator3,800 MHz,115.96,91.51,2,High,Low Uptime,57.98,8.489999999999995,5.244999999999997,4.761831996001468,2.250238612621836,4.07719840338713,10611.4996,13.658421672555956,13446.721599999999,8374.080100000001,Very High,Medium
97,East,Operator2,1800 MHz,130.4,96.89,6,High,High Uptime,21.73333333333333,3.1099999999999994,4.555,4.8782461060505105,1.413423028508143,3.1238322761813064,12634.456,41.92926045016078,17004.16,9387.6721,Very High,High
98,East,Operator1,2100 MHz,145.74,88.78,3,High,Low Uptime,48.580000000000005,11.22,7.109999999999999,4.9886623132858485,2.503073953743449,3.9035875266070446,12938.7972,12.989304812834225,21240.147600000004,7881.8884,Very High,Low
99,West,Operator3,1800 MHz,114.31,97.34,0,Low,High Uptime,114.31,2.6599999999999966,1.3299999999999983,4.747624153783025,1.2974631474132738,4.747624153783025,11126.9354,42.97368421052637,13066.776100000001,9475.0756,Very High,High
100,Central,Operator3,800 MHz,116.02,90.51,2,High,Low Uptime,58.01,9.489999999999997,5.744999999999997,4.7623448603600895,2.3504224224082053,4.077706921069077,10500.9702,12.225500526870393,13460.640399999998,8192.0601,Very High,Medium
101,West,Operator2,800 MHz,64.81,106.6,1,Low,High Uptime,64.81,-6.599999999999994,-2.799999999999997,4.186771802468027,,4.186771802468027,6908.746,-9.81969696969698,4200.3361,11363.56,Low,
102,Central,Operator3,2300 MHz,116.77,91.96,2,High,Low Uptime,58.385,8.040000000000006,5.020000000000003,4.768733569853457,2.2016591744040857,4.084041669226203,10738.169199999998,14.523631840796009,13635.232899999999,8456.641599999999,Very High,Medium
103,East,Operator1,2100 MHz,71.36,88.52,3,High,Low Uptime,23.786666666666665,11.480000000000004,7.240000000000002,4.281653660527094,2.524127362941282,3.2103058741851336,6316.7872,6.216027874564458,5092.2496,7835.790399999999,Low,Low
104,South,Operator3,800 MHz,108.33,105.76,1,Low,High Uptime,108.33,-5.760000000000005,-2.3800000000000026,4.694370831446394,,4.694370831446394,11456.980800000001,-18.80729166666665,11735.3889,11185.1776,High,
105,Central,Operator3,2500 MHz,112.34,101.33,0,Low,High Uptime,112.34,-1.3299999999999983,-0.6649999999999991,4.730392150741473,,4.730392150741473,11383.4122,-84.46616541353394,12620.2756,10267.7689,High,
106,Central,Operator3,800 MHz,112.66,92.49,3,High,Low Uptime,37.553333333333335,7.510000000000005,5.255000000000003,4.733211535868975,2.141241942585283,3.6520425640619623,10419.9234,15.001331557922759,12692.275599999999,8554.400099999999,High,Medium
107,South,Operator2,2100 MHz,98.11,97.84,1,Low,High Uptime,98.11,2.1599999999999966,1.5799999999999983,4.5962303444186166,1.1505720275988196,4.5962303444186166,9599.082400000001,45.42129629629637,9625.5721,9572.6656,Medium,High
108,South,Operator3,800 MHz,102.85,92.48,3,High,Low Uptime,34.28333333333333,7.519999999999996,5.259999999999998,4.642947550322121,2.142416340841224,3.5634107089127642,9511.568,13.676861702127667,10578.1225,8552.5504,High,Medium
109,Central,Operator2,2500 MHz,85.03,92.32,1,Low,Low Uptime,85.03,7.680000000000007,4.340000000000003,4.454696072633257,2.1610215286722596,4.454696072633257,7849.969599999999,11.071614583333323,7230.1009,8522.982399999999,Low,Medium
110,Central,Operator1,2300 MHz,90.81,98.98,3,High,High Uptime,30.27,1.019999999999996,2.009999999999998,4.519721224155608,0.7030975114131114,3.44265917146975,8988.373800000001,89.02941176470623,8246.456100000001,9797.040400000002,Medium,High
111,Central,Operator1,2500 MHz,114.44,91.48,1,Low,Low Uptime,114.44,8.519999999999996,4.759999999999998,4.7487509144656155,2.2533948488032736,4.7487509144656155,10468.9712,13.431924882629113,13096.5136,8368.590400000001,Very High,Medium
112,South,Operator3,2500 MHz,112.21,89.15,3,High,Low Uptime,37.40333333333333,10.849999999999994,6.924999999999997,4.729244501090018,2.4723278675811398,3.6481442613818524,10003.5215,10.341935483870973,12591.084099999998,7947.722500000001,High,Low
113,East,Operator2,2300 MHz,91.77,94.09,2,High,Low Uptime,45.885,5.909999999999997,3.9549999999999983,4.53012331166518,1.932969637779578,3.8476977948715883,8634.6393,15.527918781725896,8421.732899999999,8852.928100000001,Medium,Medium
114,North,Operator3,1800 MHz,114.01,105.85,1,Low,High Uptime,114.01,-5.849999999999994,-2.424999999999997,4.74501908110449,,4.74501908110449,12067.9585,-19.48888888888891,12998.280100000002,11204.222499999998,Very High,
115,North,Operator2,2500 MHz,80.2,95.97,0,Low,High Uptime,80.2,4.030000000000001,2.015000000000001,4.396915247167632,1.6154199841116479,4.396915247167632,7696.794,19.900744416873444,6432.040000000001,9210.240899999999,Low,High
116,South,Operator2,800 MHz,121.15,103.69,3,High,High Uptime,40.38333333333333,-3.6899999999999977,-0.3449999999999988,4.805249797703749,,3.7228782232860658,12562.0435,-32.83197831978322,14677.322500000002,10751.6161,Very High,
117,East,Operator1,800 MHz,113.88,90.16,1,Low,Low Uptime,113.88,9.840000000000003,5.420000000000002,4.743888105299914,2.3832429960115005,4.743888105299914,10267.4208,11.573170731707313,12968.6544,8128.825599999999,Very High,Medium
118,Central,Operator1,2100 MHz,117.75,96.9,1,Low,High Uptime,117.75,3.0999999999999943,2.049999999999997,4.7770204429147505,1.4109869737102607,4.7770204429147505,11409.975,37.98387096774201,13865.0625,9389.61,Very High,High
119,East,Operator2,1800 MHz,94.5,97.04,0,Low,High Uptime,94.5,2.9599999999999937,1.4799999999999969,4.5591262474866845,1.3762440252663874,4.5591262474866845,9170.28,31.925675675675745,8930.25,9416.761600000002,Medium,High
