Flight No.,Date and Time (UTC),Payload,Payload Mass,Orbit,Customer,Launch Outcome,Booster Landing,Launch Sites,"Versions, Boosters"
50,"6 March 2018,05:33[271]",Hispasat 30W-6[272] PODSat[273],"6,092 kg (13,431 lb)[274]",GTO,Hispasat[272] NovaWurks,Success[275],No attempt[276],"CCSFS,SLC-40 ", F9 B4 B1044.1[105]
51,"30 March 2018,14:14[280]",Iridium NEXT-5(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[281],No attempt[282],"VSFB,SLC-4E ", F9 B4 ♺ B1041.2[263]
52,"2 April 2018,20:30[286]",SpaceX CRS-14[138](Dragon C110.2 ♺ ),"2,647 kg (5,836 lb)[287] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success[288],No attempt[289],"CCSFS,SLC-40 ", F9 B4 ♺ B1039.2[287]
53,"18 April 2018,22:51[298]",Transiting Exoplanet Survey Satellite (TESS)[299],362 kg (798 lb)[300],HEO for P/2 orbit,NASA (LSP),Success[301],Success[301](drone ship),"CCSFS,SLC-40 ", F9 B4 B1045.1[263]
54,"11 May 2018,20:14[305]",Bangabandhu-1[307][308],"3,600 kg (7,900 lb)[309]",GTO,Thales-Alenia / BTRC,Success[310],Success[310](drone ship),"KSC,LC-39A ", F9 B5[306]B1046.1[263]
55,"22 May 2018,19:47[316]",Iridium NEXT-6(5 satellites)[149][152] GRACE-FO × 2[318][319],"6,460 kg (14,240 lb)[f]",Polar LEO,Iridium Communications GFZ • NASA,Success[322],No attempt[162],"VSFB,SLC-4E ", F9 B4 ♺ B1043.2[317]
56,"4 June 2018,04:45[325]",SES-12[326],"5,384 kg (11,870 lb)[327]",GTO,SES,Success[328],No attempt[162],"CCSFS,SLC-40 ", F9 B4 ♺ B1040.2[263]
57,"29 June 2018,09:42[330]",SpaceX CRS-15(Dragon C111.2 ♺ ),"2,697 kg (5,946 lb)[332] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success[333],No attempt[162],"CCSFS,SLC-40 ", F9 B4 ♺ B1045.2[331]
58,"22 July 2018,05:50[335]",Telstar 19V[336],"7,075 kg (15,598 lb)[337]",GTO[338],Telesat,Success[339],Success[339](drone ship),"CCSFS,SLC-40 ", F9 B5 B1047.1
59,"25 July 2018,11:39[343]",Iridium NEXT-7(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[346],Success[347](drone ship),"VSFB,SLC-4E ", F9 B5[344]B1048.1[345]
60,"7 August 2018,05:18[348]",Merah Putih (formerly Telkom-4)[350][351],"5,800 kg (12,800 lb)[352]",GTO,Telkom Indonesia,Success[353],Success[353](drone ship),"CCSFS,SLC-40 ", F9 B5 ♺ B1046.2[349]
61,"10 September 2018,04:45[356]",Telstar 18V / Apstar-5C[336],"7,060 kg (15,560 lb)[356]",GTO[356],Telesat,Success[356],Success[356](drone ship),"CCSFS,SLC-40 ", F9 B5 B1049.1[263]
62,"8 October 2018,02:22[358]",SAOCOM 1A[360][361],"3,000 kg (6,600 lb)[358]",SSO,CONAE,Success[358],Success[358](ground pad),"VSFB,SLC-4E ", F9 B5 ♺ B1048.2[359]
63,"15 November 2018,20:46[362]",Es'hail 2[363],"5,300 kg (11,700 lb)[364]",GTO,Es'hailSat,Success[365],Success[365](drone ship),"KSC,LC-39A ", F9 B5 ♺ B1047.2[263]
64,"3 December 2018,18:34:05",SSO-A (SmallSat Express),"~4,000 kg (8,800 lb)[367]",SSO,Spaceflight Industries,Success[368],Success[368](drone ship),"VSFB,SLC-4E ", F9 B5 ♺ B1046.3[263] (SHERPA)
65,"5 December 2018,18:16",SpaceX CRS-16(Dragon C112.2 ♺ ),"2,500 kg (5,500 lb)[377] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Failure[378](ground pad),"CCSFS,SLC-40 ", F9 B5 B1050[263]
66,"23 December 2018,13:51[381]",GPS III-01 (Vespucci),"4,400 kg (9,700 lb)[383]",MEO,USAF,Success[381],No attempt[381],"CCSFS,SLC-40 ", F9 B5 B1054[382]
67,"11 January 2019,15:31[391]",Iridium NEXT-8(10 satellites)[149],"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success(drone ship)," VSFB,SLC-4E", F9 B5 ♺ B1049.2[392]
68,"22 February 2019,01:45[393]",Nusantara Satu (PSN-6)[395] Beresheet Moon lander[396] S5[397],"4,850 kg (10,690 lb)[398]",GTO,PSN SpaceIL / IAI Air Force Research,Success,Success(drone ship)," CCSFS,SLC-40", F9 B5 ♺ B1048.3[394]
69,"2 March 2019,07:49[407]",Crew Dragon Demo-1[409](Dragon C201),"12,055 kg (26,577 lb)[410][g]",LEO (ISS),NASA (CCD),Success,Success(drone ship)," KSC,LC-39A", F9 B5 B1051.1[263][408]
FH 2,"11 April 2019,22:35[416]",Arabsat-6A[417],"6,465 kg (14,253 lb)[418]",GTO,Arabsat,Success,Success[h](drone ship)," KSC,LC-39A", Falcon Heavy B5 B1055 (core)[416]
70,"4 May 2019,06:48",SpaceX CRS-17[138](Dragon C113.2 ♺ ),"2,495 kg (5,501 lb)[427] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship)," CCSFS,SLC-40", F9 B5 B1056.1[415]
71,"24 May 2019,02:30",Starlink v0.9 (60 satellites),"13,620 kg (30,030 lb)[430]",LEO,SpaceX,Success,Success(drone ship)," CCSFS,SLC-40", F9 B5 ♺ B1049.3[429]
72,"12 June 2019,14:17",RADARSAT Constellation(3 satellites),"4,200 kg (9,300 lb)[439]",SSO,Canadian Space Agency (CSA),Success,Success(ground pad)," VSFB,SLC-4E", F9 B5 ♺ B1051.2[415]
FH 3,"25 June 2019,06:30[445]",Space Test Program Flight 2 (STP-2),"3,700 kg (8,200 lb)",LEO / MEO,USAF,Success,Failure(drone ship)," KSC,LC-39A", Falcon Heavy B5 B1057 (core)[415]
73,"25 July 2019,22:01[460]",SpaceX CRS-18[138](Dragon C108.3 ♺ ),"2,268 kg (5,000 lb)[460] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad)," CCSFS,SLC-40", F9 B5 ♺ B1056.2[461]
74,"6 August 2019,23:23[467]",AMOS-17[469],"6,500 kg (14,300 lb)[470]",GTO,Spacecom,Success,No attempt[470]," CCSFS,SLC-40", F9 B5 ♺ B1047.3[468]
75,"11 November 2019,14:56[475]",Starlink 1 v1.0 (60 satellites),"15,600 kg (34,400 lb)[430]",LEO,SpaceX,Success,Success(drone ship)," CCSFS,SLC-40", F9 B5 ♺ B1048.4
76,"5 December 2019,17:29[477]",SpaceX CRS-19[479](Dragon C106.3 ♺ ),"2,617 kg (5,769 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship)," CCSFS,SLC-40", F9 B5 B1059.1[478]
77,"17 December 2019,00:10[482]",JCSat-18 / Kacific 1[483],"6,956 kg (15,335 lb)[482]",GTO,Sky Perfect JSATKacific 1,Success,Success(drone ship)," CCSFS,SLC-40", F9 B5 ♺ B1056.3[478]
78,"7 January 2020,02:19:21[13]",Starlink 2 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1049.4
79,"19 January 2020,15:30[16]",Crew Dragon in-flight abort test[17](Dragon C205.1),"12,050 kg (26,570 lb)",Sub-orbital[18],NASA (CTS)[19],Success,No attempt,"KSC,LC-39A",F9 B5 ♺ B1046.4
80,"29 January 2020,14:07[24]",Starlink 3 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1051.3
81,"17 February 2020,15:05[26]",Starlink 4 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Failure(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1056.4
82,"7 March 2020,04:50[29]",SpaceX CRS-20(Dragon C112.3 ♺ ),"1,977 kg (4,359 lb)[30] (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1059.2
83,"18 March 2020,12:16[33]",Starlink 5 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Failure(drone ship),"KSC,LC-39A",F9 B5 ♺ B1048.5
84,"22 April 2020,19:30[37]",Starlink 6 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1051.4
85,"30 May 2020,19:22[40]",Crew Dragon Demo-2[42](Crew Dragon C206.1 Endeavour),"12,530 kg (27,620 lb)[43]",LEO (ISS),NASA (CCDev),Success,Success(drone ship),"KSC,LC-39A",F9 B5 B1058.1[41]
86,"4 June 2020,01:25[45]",Starlink 7 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1049.5
87,"13 June 2020,09:21[47]","Starlink 8 v1.0 (58 satellites),[48][49]SkySats-16, -17, -18","15,410 kg (33,970 lb)[47]",LEO,SpaceXPlanet Labs,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1059.3
88,"30 June 2020,20:10:46[52]",GPS III-03 (Matthew Henson),"4,311 kg (9,504 lb)[53]",MEO,U.S. Space Force[53],Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 B1060.1
89,"20 July 2020,21:30[67]",ANASIS-II,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Republic of Korea Army,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1058.2[68]
90,"7 August 2020,05:12[73]","Starlink 9 v1.0 (57 Satellites),[48]SXRS-1 (BlackSky Global 7 and 8)","14,932 kg (32,919 lb)",LEO,SpaceXSpaceflight Industries (BlackSky),Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1051.5
91,"18 August 2020,14:31[77]","Starlink 10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg (34,040 lb)",LEO,SpaceXPlanet Labs,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1049.6[68]
92,"30 August 2020,23:18[79]",SAOCOM 1B[80]GNOMES 1[80]Tyvak-0172[81],"3,130 kg (6,900 lb)[82]",SSO,CONAEPlanetIQTyvak,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5 ♺ B1059.4
93,"3 September 2020,12:46:14[86]",Starlink 11 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1060.2[87]
94,"6 October 2020,11:29:34[88]",Starlink 12 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1058.3[89]
95,"18 October 2020,12:25:57[91]",Starlink 13 v1.0 (60 satellites),"15,600 kg (34,400 lb)[14]",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1051.6[92]
96,"24 October 2020,15:31:34[94]",Starlink 14 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.3
97,"5 November 2020,23:24:23[96]",GPS III-04 (Sacagawea)[64][97],"4,311 kg (9,504 lb)",MEO,USSF,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 B1062.1
98,"16 November 2020,00:27[105]",Crew-1(Crew Dragon C207.1 Resilience),"~12,500 kg (27,600 lb)",LEO (ISS),NASA (CCP)[19],Success,Success(drone ship),"KSC,LC-39A",F9 B5 B1061.1[106]
99,"21 November 2020,17:17:08[111]",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg (2,628 lb)",LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success(ground pad),"VSFB,SLC-4E",F9 B5 B1063.1
100,"25 November 2020,02:13[113]",Starlink 15 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1049.7[114]
101,"6 December 2020,16:17:08[115]",SpaceX CRS-21(Dragon C208.1),"2,972 kg (6,552 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1058.4[116]
102,"13 December 2020,17:30:00[120]",SXM-7,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success(drone ship),"CCSFS,SLC-40[121]",F9 B5 ♺ B1051.7
103,"19 December 2020,14:00:00[126]",NROL-108,Classified,LEO,NRO,Success,Success(ground pad),"KSC,LC-39A",F9 B5 ♺ B1059.5
104,"8 January 2021,02:15[130]",Türksat 5A[131],"3,500 kg (7,700 lb)",GTO,Türksat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.4
105,"20 January 2021,13:02:22[134]",Starlink 16 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1051.8[135]
106,"24 January 2021,15:00[138]",Transporter-1: (143 smallsat rideshare),"~5,000 kg (11,000 lb)",SSO,Various,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1058.5[139]
107,"4 February 2021,06:19[150]",Starlink 18 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.5[151]
108,"16 February 2021,03:59:37[153]",Starlink 19 v1.0 (60 satellites)[154],"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Failure (drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1059.6
109,"4 March 2021,08:24:54[160]",Starlink 17 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1049.8[161]
110,"11 March 2021,08:13:29[164]",Starlink 20 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1058.6[165]
111,"14 March 2021,10:01:26[167]",Starlink 21 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1051.9
112,"24 March 2021,08:28:24[169]",Starlink 22 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.6[170]
113,"7 April 2021,16:34:18",Starlink 23 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1058.7
114,"23 April 2021,09:49:02[173]",Crew-2(Crew Dragon C206.2 Endeavour ♺ ),"~13,000 kg (29,000 lb)[175]",LEO (ISS),NASA (CTS)[19],Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1061.2[174]
115,"29 April 2021,03:44:30[178]",Starlink 24 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1060.7[179]
116,"4 May 2021,19:01:07[181]",Starlink 25 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1049.9[182]
117,"9 May 2021,06:42:45[183]",Starlink 27 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1051.10[184]
118,"15 May 2021,22:56[186]",Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130[187],"~14,000 kg (31,000 lb)",LEO,SpaceX Capella Space and Tyvak,Success,Success(drone ship),"KSC,LC-39A",F9 B5 ♺ B1058.8
119,"26 May 2021,18:59:35[189]",Starlink 28 v1.0 (60 Satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5 ♺ B1063.2
120,"3 June 2021,17:29:17[191]",SpaceX CRS-22(Dragon C209.1),"3,328 kg (7,337 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5 B1067.1[192]
