Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1822,11,20,2,30,,4,1,8.5,0,CHILE,CENTRAL CHILE,-33,-72,3.6,6,1.8,2,72,,,200,,4,,
1823,3,5,17,37,,2,1,,0,ITALY,PALERMO,38.3,14.8,,2,,5,,,,,,,,
1823,5,30,,,,0,1,,0,USA,LAKE ERIE,42.7,-79,2.74,1,,,,,,,,,,
1823,8,20,,,,2,1,,0,CROATIA,DUBROVNIK,,,,2,,4,,,,,,,,
1823,9,9,,,,2,1,6.8,0,INDONESIA,JAVA,-6.5,108.5,0.3,1,,-1.5,,,,,,,,
1823,10,,,,,-1,1,,0,CROATIA,ADRIATIC SEA,,,,2,,,,,,,,,,
1823,11,30,,,,4,1,,0,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE,14.4,-61,,1,,,,,,,,,,
1824,9,13,,,,-1,9,,0,GUADELOUPE (FRENCH TERRITORY),BASSE TERRE,16.7,-62.2,,1,,,,,,,,,,
1824,10,26,,,,1,1,,0,PHILIPPINES,W. LUZON ISLAND,14.25,121.25,,1,,1,,,,,,2,,
1824,11,30,,,,2,1,,0,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE,14.4,-61,,1,,,,,,,,,,
1825,1,3,,,,1,0,,0,DENMARK,DENMARK,,,,0,,,,,,,,,,
1825,1,19,11,45,,1,1,6.8,0,GREECE,IONIAN SEA,38.8,20.7,,1,,3,58,,,,,3,,
1825,2,26,,,,1,1,6.3,0,COLOMBIA,SANTA MARTA,11.1,-74.1,,1,,,,,,,,,,
1825,3,21,,,,-1,6,,0,USA,"UNIMAK ISLAND, AK",54.77,-164.18,,1,,0.5,,,,,,,,
1825,4,,,,,2,1,,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,,1,,,,,,,,2,,
1825,9,21,1,45,,2,1,,0,TRINIDAD AND TOBAGO,PORT-OF-SPAIN,10.4,-61.3,,1,,,,,,,,,,
1826,1,,,,,3,1,,0,JAPAN,CHICHI JIMA,27.07,142.21,,1,,,,,,,,1,,
1826,3,18,0,20,,2,1,,0,ITALY,SENIGALLIA,43.8,13,,1,,3,,,,,,,,
1826,10,22,,,,-1,6,,0,USA,"UNIMAK ISLAND, AK",55,-165,,1,,,,,,,,,,
1826,,,,,,3,1,,1,NEW ZEALAND,DUSKY SOUND,-45.78,166.48,,1,,,,,,,,,,
1827,1,18,,,,1,9,,0,USA,N. CALIFORNIA,,,,1,,,,,,,,,,
1827,8,8,,,,-1,4,,0,USA,"ALASKA PENINSULA, AK",,,,1,,,,,,,,,,
1827,8,9,,,,3,4,,1,RUSSIA,KAMCHATKA,53,158.5,,2,,1.5,,,,,,1,,
1827,11,16,22,45,,-1,1,7,0,ECUADOR,ECUADOR,-1.8,-76.4,,2,,,,,,,,,,
1827,,,,,,-1,6,,0,USA,"E. ALEUTIAN ISLANDS, AK",,,,0,,,,,,,,,,
1828,3,30,12,35,0,-1,1,8.3,0,PERU,CENTRAL PERU,,,,0,,,,,,,,,,
1828,5,26,,,,4,1,6.4,0,JAPAN,AMAKUSA SEA,32.6,129.9,,2,,,,,,,,,,
1828,10,9,13,11,,2,1,,0,ITALY,GENOA,44.8,9.2,,1,,3,,,,,,,,
1828,11,9,10,30,,1,1,7.5,0,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,,1,,0.5,,,,,,1,,
1828,12,18,,,,-1,1,6.9,0,JAPAN,NW. HONSHU ISLAND,,,,0,,,1443,,,,,4,11750,
1828,12,29,,,,-1,1,,0,INDONESIA,FLORES SEA,,,,0,,,,,,,,,,
1829,5,23,,,,2,1,7.3,0,TURKEY,CONSTANTINOPLE,41.1,24.3,,1,,2,,,,,,,,
1829,9,26,,,,-1,1,,0,CHILE,SC. CHILE,,,,0,,,,,,,,1,,
1830,1,10,,,,1,0,,0,HOLLAND,HOLLAND,,,,0,,,,,,,,,,
1830,1,18,9,15,,0,1,,0,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,1,1,,,,,,,,2,,
1830,9,16,,,,0,1,,0,PHILIPPINES,W. LUZON ISLAND,14.55,120.9,,1,,1,,,,,,,,
1831,5,26,11,30,,2,1,,0,ITALY,SAN REMO,43.8,7.8,,1,,3,,,,,,,,
1831,7,2,,,,2,1,,0,ITALY,SCIACCA,37.05,12.3,,1,,1,,,,,,,,
1831,12,3,23,40,,1,1,,0,TRINIDAD AND TOBAGO,TRINIDAD & ST. CHRISTOPHER,12.4,-61.5,,2,,,,,,,,,,
1831,,,,,,3,1,,0,NEW ZEALAND,"POVERTY BAY, NORTH ISLAND",-38.7,178,,0,,,,,,,,,,
1832,3,8,1,15,,2,1,,0,ITALY,CUTRO,39,17,,1,,3,234,,,,,,,
1833,1,19,,,,2,1,6.4,0,ALBANIA,ALBANIA,40.4,19.9,,2,,4,,,,,,2,,
1833,3,10,,,,3,1,,0,MEXICO,S. MEXICO,16.8,-99.9,,1,1,0.5,,,,,,,,
1833,9,6,,,,0,1,8,0,CHINA,YUNNAN PROVINCE,25.2,103,,1,,,6700,,,,,4,87620,
1833,9,18,10,45,,1,1,7.7,0,PERU,S. PERU,-18.251,-71.01,9,1,,,700,,,25,,3,1001,
1833,11,24,,,,4,1,8.3,0,INDONESIA,SW. SUMATRA,-2.5,100.5,,6,,2.5,,,,,,2,,
1833,12,7,,,,4,1,7.4,1,JAPAN,NW. HONSHU ISLAND,38.9,139.15,9,27,2.5,2.5,85,,,,,3,1140,1790
1834,2,9,1,,,4,1,6.4,0,JAPAN,W. HOKKAIDO ISLAND,43.3,141.4,,1,2,1,,,,,,1,73,
1834,3,14,,,,1,1,7,0,MEXICO,S. MEXICO,16.8,-99.9,,1,1,0,,,,,,1,,
1835,2,20,16,22,,4,1,8.2,1,CHILE,CENTRAL CHILE,-36.83,-73.03,24,22,4,3,53,30,1,500,,4,,
1835,7,12,,,,2,0,,0,GREECE,IONIAN ISLANDS,,,,1,,2,,,,,,,,
1835,7,20,,,,4,1,7.6,0,JAPAN,SANRIKU,37.9,141.9,5,4,2.3,2,,,,,,3,,
1835,8,19,,,,-1,1,,0,JAPAN,"MIYAGI, JAPAN",,,,2,2,2,,,,,,,,
1836,1,21,,,,1,0,,0,AUSTRALIA,TASMANIA,-43.3,148.9,,0,,,,,,,,,,
1836,3,5,,,,2,1,,0,INDONESIA,FLORES SEA,-8.3,118.7,,1,,0.5,,,,,,,,
1836,4,24,16,15,,3,1,,0,ITALY,ROSSANO,39.6,16.6,,3,,4,589,,,,,,,
1836,7,3,,,,2,1,7.5,0,CHILE,NORTHERN CHILE,-22.6,-70.3,,2,1,1,,,,,,,,
1836,9,5,,,,-1,1,5.9,0,JAPAN,SANRIKU,37.7,142,,1,1,1,,,,,,,,
1836,11,28,,,,2,1,7.5,0,INDONESIA,FLORES SEA,-8.3,118.7,,1,,0.5,,,,,,1,,
1837,1,1,1,,,3,1,,0,ISRAEL,ISRAEL and SYRIAN COASTS,33,35.5,,0,,4,,,,,,,,
1837,8,1,,,,1,0,,0,NETHERLANDS,VLISSINGEN,51.44,3.57,,0,,,,,,,,,,
1837,8,2,,,,-1,9,,0,USA TERRITORY,VIRGIN ISLANDS,,,,1,,,,,,,,,,
1837,8,9,,,,2,1,6.5,0,MEXICO,ACAPULCO,16.86,-99.88,,1,,0,,,,,,,,
1837,9,29,,,,2,1,7.3,0,INDONESIA,BANDA ACEH,5.5,96,,3,,0.5,,,,,,2,,
1837,10,18,,,,2,1,7,0,MEXICO,MEXICO CITY,19.45,-99.15,,1,,0,,,,,,,,
1837,10,,,,,2,0,,0,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,7.5,146.5,,3,,,,,,,,2,,
1837,11,7,12,51,,4,1,8.5,1,CHILE,SOUTHERN CHILE,-42.5,-74,6,17,3,3,16,,,,,3,,
1838,5,7,,,,2,1,,0,CHILE,CENTRAL CHILE,-36.7,-73.1,0.8,1,,,,,,,,,,
1838,8,10,20,30,,2,1,,0,CROATIA,RIJEKA,45.3,14.5,,1,,3,,,,,,,,
1839,2,12,,,,1,4,,0,CHILE,CENTRAL CHILE,-33.62,-76.83,,0,,,,,,,,,,
1839,3,,,,,1,1,,0,USA,HAWAII,,,,1,,,,,,,,,,
1839,5,1,,,,1,1,7.3,0,JAPAN,SE. HOKKAIDO ISLAND,42.5,145,,1,1,1,,,,,,,,
1839,,,,,,3,0,,0,NEW ZEALAND,"WAIKAWA, SOUTHLAND",-46.627,169.126,,1,,,,,,,,,,
1840,1,4,,,,2,1,7,0,INDONESIA,JAVA,-8,110.5,,1,,0,,,,,,3,,
1840,1,16,,,,-1,9,,0,USA,S. CALIFORNIA,,,,1,,,,,,,,,,
1840,1,28,8,,,1,1,,0,PERU,CENTRAL PERU,-12.3,-77.3,,1,,0,,,,,,,,
1840,2,14,,,,2,1,,0,INDONESIA,N. MOLUCCAS ISLANDS,0.8,127.325,,1,,0.5,,,,,,2,500,
1840,3,22,,,,1,1,6.5,0,PHILIPPINES,PHILIPPINE SEA,12.9,123.9,,1,1,1,52,,,200,,3,,
1840,7,28,,,,0,1,,0,NEW ZEALAND,WHITIANGA,-36.836,175.692,,1,,,,,,,,,,
1840,8,,,,,2,0,,0,NEW ZEALAND,EAST CAPE,-37.61,178.35,1,2,,,,,,,,,,
1840,11,11,,,,0,1,5.2,0,USA,"PHILADELPHIA, PENNSYLVANIA",39.8,-75.2,,1,,,,,,,,,,
1840,,,,,,-1,1,,0,USA,HAWAII,,,,1,,,,,,,,,,
1841,5,17,21,30,,4,1,8.4,1,RUSSIA,KAMCHATKA,52,158,15,7,3.9,3,,,,,,2,,
1841,11,26,,,,3,1,,0,INDONESIA,MOLUCCAS ISLANDS,-5,130,3,1,1.5,1.5,,,,,,,,
1841,12,16,,,,3,1,6,0,INDONESIA,BANDA SEA,-4,127.5,1.5,4,1,1.5,,,,,,2,,
1841,,,,,,1,0,,0,PERU,PERU,,,,1,,,,,,,,,,
1842,5,7,21,,,4,1,8.1,0,HAITI,CAP-HAITIAN,19.75,-72.2,5,6,4.2,,5300,,,,,4,,
1842,11,1,,,,2,1,,0,CANADA,ST. LAWRENCE,,,,0,,,,,,,,,,
1842,11,11,,,,1,1,6,0,BANGLADESH,BAY OF BENGAL:  NORTHERN END,24,89.25,,3,,,,,,,,1,,
1843,1,5,,,,4,1,7.3,0,INDONESIA,SW. SUMATRA,1.5,98,,3,,2,,,,,,3,,
1843,2,7,,,,1,1,6,0,INDONESIA,BALI SEA,-7.2,114,,1,,0,,,,,,,,
1843,2,8,14,50,,4,1,8.3,0,GUADELOUPE (FRENCH TERRITORY),POINTE-A-PITRE,16.5,-62.2,1.2,1,0.3,,5000,,,,,4,,
1843,2,17,,,,1,6,,0,GUADELOUPE (FRENCH TERRITORY),MARIE-GALANTE ISLAND,15.933,-61.267,,1,,,,,,,,,,
1843,4,25,,,,4,1,8.4,3,JAPAN,SE. HOKKAIDO ISLAND,42,146,4.5,8,2.2,2.5,45,,,,,2,75,
1843,7,5,,,,1,0,,0,UK,"CORNWALL, ENGLAND",,,,0,,,,,,,,,,
1843,7,8,5,5,,2,1,7.5,0,NEW ZEALAND,NEW ZEALAND,-39.9,175,,1,,,,,,,,,,
1843,9,14,10,30,,2,1,6.5,0,CROATIA,DUBROVNIK,42.6,18.1,,2,,4,,,,,,,,
1843,10,18,,,,2,1,6.5,0,GREECE,ISLAND OF CHALKI,36.3,27.6,,1,,4,,,,,,,,
1844,3,3,18,25,,2,1,,0,CROATIA,DUBROVNIK,,,,1,,3,,,,,,,,
1844,3,8,,,,-1,0,,0,JAPAN,"IAMACHI, JAPAN",,,,0,1,1,,,,,,,,
1844,3,22,10,13,,2,1,,0,CROATIA,DUBROVNIK,43.4,16.7,,1,,2,,,,,,,,
1844,5,,,,,0,1,7.4,0,NICARAGUA,LAKE NICARAGUA,11.2,-84.8,,0,,,,,,,,2,,
1845,2,8,7,30,,3,1,7,1,INDONESIA,CELEBES SEA,1.5,124.85,,1,0,0,118,,,,,2,,
1845,4,7,,,,3,1,8,0,MEXICO,S. MEXICO,17,-100.6,,1,,1.5,,,,,,2,,
1845,6,18,,,,1,1,,0,ITALY,ISLAND OF SICILY,36.4,13.44,,1,,,,,,,,,,
1845,6,19,,,,3,1,6.3,0,INDIA,RANN OF KUTCH,23.583,68.367,,3,,,,,,,,2,,
1845,7,5,,,,1,1,,0,NEW ZEALAND,N. NEW ZEALAND,-39.93,175.05,1,1,,0.5,,,,,,,,
1845,8,16,16,38,,1,1,,0,CROATIA,DUBROVNIK,,,,1,,3,,,,,,,,
1845,9,,,,,-1,1,,0,JAPAN,"NAGASAKI, JAPAN",,,,1,1,0,,,,,,,,
1845,,,,,,3,8,,0,USA,"SE. ALASKA, AK",,,,1,,3,100,,,,,,,
1846,1,25,0,0,,4,1,7.3,0,INDONESIA,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",2,126.5,1.2,2,,0.5,,,,,,,,
1846,3,,,,,4,1,6.9,0,JAPAN,SANRIKU,39.5,142.5,2,2,1,1,,,,,,,,
1846,5,7,,,,4,0,,0,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND",-38.96,175.73,,0,,,,,,,,,,
1846,7,25,17,30,,2,1,,0,TURKEY,IZMIR,,,,1,,3,,,,,,,,
1846,8,14,12,35,,3,1,6.1,0,ITALY,LIVORNO,43.4,10.6,,1,,3,56,,,,,3,,
1846,8,26,17,23,,3,1,,0,ITALY,TUSCANY,43.5,10.5,,2,,4,,,,,,,,
1846,9,12,,,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,9,19,,,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,10,4,22,15,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,10,14,11,15,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,10,19,,,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,10,24,,,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,10,28,,,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,11,29,0,55,,3,1,,0,ITALY,TUSCANY,,,,0,,,,,,,,,,
1846,12,3,,,,2,1,,0,ITALY,TUSCANY,43.3,10.7,,2,,3,,,,,,,,
1846,,,,,,2,1,,0,TURKEY,ISMIR,,,,0,,3,,,,,,,,
1847,4,15,,,,3,1,,0,ITALY,LIVORNO,,,,0,,,,,,,,,,
1847,4,16,,,,3,1,,0,ITALY,LIVORNO,,,,0,,,,,,,,,,
1847,4,17,,,,3,1,,0,ITALY,LIVORNO,,,,0,,,,,,,,,,
1847,5,23,,,,2,1,,0,PERU,CENTRAL PERU,-12.1,-77.1,2,1,1,1.5,,,,,,1,,
1847,7,9,,,,4,8,,0,PORTUGAL,AZORES,39.483,-31.233,7,2,,,10,100,2,,,,,
1847,8,26,,,,2,0,,0,ITALY,NAPLES,,,,1,,2,,,,,,,,
1847,8,27,,,,1,9,,0,JAPAN,SANRIKU,,,,4,1,1.5,335,,,,,1,,
1847,10,19,,,,2,1,,0,CHILE,CENTRAL CHILE,-31.61,-71.18,,1,,,,,,,,,,
1847,10,31,,,,3,1,,0,INDIA,LITTLE NICOBAR ISLAND,7.333,93.667,,1,,,,,,,,1,,
1848,6,,,,,1,0,,0,RUSSIA,KAMCHATKA,,,,0,,,,,,,,,,
1848,7,12,,,,2,1,,0,FRENCH POLYNESIA,TAHITI,-17.9,-149.9,,2,,0.5,,,,,,1,,
1848,9,24,,,,3,8,,0,CANADA,"FISHING SHIPS HARBOUR, NEWFOUNDLAND",52.616,-55.766,,4,,,,,,,,,,
1848,10,15,14,10,,1,3,7.9,0,NEW ZEALAND,COOK STRAIT,-41.9,173.6,0.3,3,-1,0.5,,,,,,1,,
1848,10,17,4,10,,-1,1,6,0,NEW ZEALAND,COOK STRAIT,,,,1,,0.5,,,,,,,,
1848,10,18,17,33,,-1,1,6,0,NEW ZEALAND,WELLINGTON,,,,4,,,3,,,,,,,
1849,1,25,5,10,,3,1,7.5,0,USA TERRITORY,"GUAM, MARIANA ISLANDS",14,143.3,6.1,7,1,2,,,,,,3,,
1849,9,28,9,,,4,1,,0,RUSSIA,KAMCHATKA,55,166,,4,,,,,,,,1,,
1849,11,17,10,10,,4,1,7.5,0,CHILE,CENTRAL CHILE,-29.95,-71.37,5,3,2.3,2.5,,,,,,1,,
1850,1,21,,,,2,0,,0,ITALY,LIVORNO,,,,0,,,,,,,,,,
1850,5,16,,,,2,0,,0,ITALY,LIVORNO,,,,1,,,,,,,,,,
1850,7,20,,,,1,8,,0,JAPAN,SANRIKU,39.5,142,2,0,1,0,,,,,,,,
1850,10,20,,,,2,1,,0,ITALY,LIVORNO,,,,1,,,,,,,,,,
1850,,,,,,1,6,,0,NORTHWEST PACIFIC OCEAN,PHILIPPINE SEA,20.6,134.8,,0,,,,,,,,,,
1851,2,28,15,,,2,1,7.2,0,GREECE,DODECANESE ISLANDS,36.5,28.7,,0,,,,,,,,,,
1851,2,28,,,,3,1,7.2,0,TURKEY,"FETIYE, ASIA MINOR",35.5,28.7,0.9,1,-0.1,3,,,,,,,,
1851,4,2,10,48,,-1,1,7.1,0,CHILE,CENTRAL CHILE,,,,0,,,,,,,,3,,
1851,4,3,,,,3,1,,0,TURKEY,ASIA MINOR,,,,1,,3,,,,,,,,
